Feature,Importance
Emp-484220,0.0
Est-484220,0.0
Pay-484220,0.0
Emp-484230,0.0
Est-484230,0.0
Pay-484230,1.0
Emp-485310,0.0
Est-485310,0.0
Pay-485310,0.0
Emp-485320,0.0
Est-485320,0.0
Pay-485320,0.0
Emp-485410,0.0
Est-485410,0.0
Pay-485410,0.0
Emp-485991,0.0
Est-485991,0.0
Pay-485991,0.0
Emp-487110,0.0
Est-487110,0.0
Pay-487110,0.0
Emp-487210,0.0
Est-487210,0.0
Pay-487210,0.0
Emp-488119,0.0
Est-488119,0.0
Pay-488119,0.0
Emp-488190,0.0
Est-488190,0.0
Pay-488190,0.0
Emp-488310,0.0
Est-488310,0.0
Pay-488310,0.0
Emp-488330,0.0
Est-488330,0.0
Pay-488330,0.0
Emp-488390,0.0
Est-488390,0.0
Pay-488390,0.0
Emp-488410,0.0
Est-488410,0.0
Pay-488410,0.0
Emp-488490,0.0
Est-488490,0.0
Pay-488490,0.0
Emp-488510,0.0
Est-488510,0.0
Pay-488510,0.0
Emp-492110,0.0
Est-492110,0.0
Pay-492110,0.0
Emp-492210,0.0
Est-492210,0.0
Pay-492210,0.0
Emp-493110,0.0
Est-493110,0.0
Pay-493110,0.0
Emp-511110,0.0
Est-511110,0.0
Pay-511110,0.0
Emp-511120,0.0
Est-511120,0.0
Pay-511120,0.0
Emp-511130,0.0
Est-511130,0.0
Pay-511130,0.0
Emp-511199,0.0
Est-511199,0.0
Pay-511199,0.0
Emp-511210,0.0
Est-511210,0.0
Pay-511210,0.0
Emp-512110,0.0
Est-512110,0.0
Pay-512110,0.0
Emp-512131,0.0
Est-512131,0.0
Pay-512131,0.0
Emp-512191,0.0
Est-512191,0.0
Pay-512191,0.0
Emp-512240,0.0
Est-512240,0.0
Pay-512240,0.0
Emp-515112,0.0
Est-515112,0.0
Pay-515112,0.0
Emp-515120,0.0
Est-515120,0.0
Pay-515120,0.0
Emp-515210,0.0
Est-515210,0.0
Pay-515210,0.0
Emp-517311,1.0
Est-517311,0.0
Pay-517311,0.0
Emp-517312,0.0
Est-517312,0.0
Pay-517312,0.0
Emp-517911,0.0
Est-517911,0.0
Pay-517911,0.0
Emp-517919,0.0
Est-517919,0.0
Pay-517919,0.0
Emp-518210,0.0
Est-518210,0.0
Pay-518210,0.0
Emp-519120,1.0
Est-519120,0.0
Pay-519120,9.0
Emp-519130,0.0
Est-519130,0.0
Pay-519130,0.0
Emp-522110,0.0
Est-522110,0.0
Pay-522110,0.0
Emp-522120,0.0
Est-522120,0.0
Pay-522120,0.0
Emp-522130,0.0
Est-522130,0.0
Pay-522130,0.0
Emp-522210,0.0
Est-522210,0.0
Pay-522210,0.0
Emp-522220,0.0
Est-522220,0.0
Pay-522220,0.0
Emp-522292,0.0
Est-522292,0.0
Pay-522292,0.0
Emp-522298,0.0
Est-522298,0.0
Pay-522298,0.0
Emp-522310,0.0
Est-522310,0.0
Pay-522310,0.0
Emp-522320,0.0
Est-522320,0.0
Pay-522320,0.0
Emp-522390,0.0
Est-522390,0.0
Pay-522390,0.0
Emp-523120,0.0
Est-523120,0.0
Pay-523120,0.0
Emp-523910,0.0
Est-523910,0.0
Pay-523910,0.0
Emp-523920,0.0
Est-523920,0.0
Pay-523920,0.0
Emp-523930,0.0
Est-523930,0.0
Pay-523930,0.0
Emp-523991,0.0
Est-523991,0.0
Pay-523991,0.0
Emp-524113,0.0
Est-524113,0.0
Pay-524113,0.0
Emp-524114,0.0
Est-524114,0.0
Pay-524114,0.0
Emp-524126,0.0
Est-524126,0.0
Pay-524126,0.0
Emp-524127,0.0
Est-524127,0.0
Pay-524127,0.0
Emp-524210,0.0
Est-524210,0.0
Pay-524210,0.0
Emp-524291,0.0
Est-524291,0.0
Pay-524291,0.0
Emp-524292,0.0
Est-524292,0.0
Pay-524292,0.0
Emp-524298,0.0
Est-524298,0.0
Pay-524298,0.0
Emp-531110,0.0
Est-531110,0.0
Pay-531110,0.0
Emp-531120,0.0
Est-531120,0.0
Pay-531120,0.0
Emp-531130,0.0
Est-531130,0.0
Pay-531130,0.0
Emp-531190,0.0
Est-531190,0.0
Pay-531190,0.0
Emp-531210,0.0
Est-531210,0.0
Pay-531210,0.0
Emp-531311,1.0
Est-531311,0.0
Pay-531311,0.0
Emp-531312,0.0
Est-531312,0.0
Pay-531312,0.0
Emp-531320,0.0
Est-531320,0.0
Pay-531320,0.0
Emp-531390,0.0
Est-531390,0.0
Pay-531390,0.0
Emp-532111,0.0
Est-532111,0.0
Pay-532111,0.0
Emp-532120,0.0
Est-532120,0.0
Pay-532120,0.0
Emp-532210,0.0
Est-532210,0.0
Pay-532210,0.0
Emp-532283,0.0
Est-532283,0.0
Pay-532283,0.0
Emp-532284,0.0
Est-532284,1.0
Pay-532284,0.0
Emp-532289,0.0
Est-532289,0.0
Pay-532289,0.0
Emp-532310,0.0
Est-532310,0.0
Pay-532310,0.0
Emp-532412,0.0
Est-532412,0.0
Pay-532412,0.0
Emp-532490,0.0
Est-532490,0.0
Pay-532490,0.0
Emp-541110,1.0
Est-541110,0.0
Pay-541110,0.0
Emp-541191,0.0
Est-541191,0.0
Pay-541191,0.0
Emp-541211,0.0
Est-541211,0.0
Pay-541211,1.0
Emp-541213,0.0
Est-541213,0.0
Pay-541213,0.0
Emp-541214,0.0
Est-541214,0.0
Pay-541214,0.0
Emp-541219,0.0
Est-541219,0.0
Pay-541219,0.0
Emp-541310,0.0
Est-541310,0.0
Pay-541310,0.0
Emp-541320,0.0
Est-541320,0.0
Pay-541320,0.0
Emp-541330,0.0
Est-541330,0.0
Pay-541330,0.0
Emp-541340,0.0
Est-541340,0.0
Pay-541340,0.0
Emp-541350,0.0
Est-541350,0.0
Pay-541350,0.0
Emp-541370,1.0
Est-541370,0.0
Pay-541370,1.0
Emp-541380,0.0
Est-541380,0.0
Pay-541380,0.0
Emp-541410,0.0
Est-541410,0.0
Pay-541410,0.0
Emp-541430,0.0
Est-541430,0.0
Pay-541430,0.0
Emp-541490,0.0
Est-541490,0.0
Pay-541490,0.0
Emp-541511,0.0
Est-541511,0.0
Pay-541511,0.0
Emp-541512,0.0
Est-541512,0.0
Pay-541512,0.0
Emp-541513,0.0
Est-541513,0.0
Pay-541513,0.0
Emp-541519,0.0
Est-541519,0.0
Pay-541519,0.0
Emp-541611,0.0
Est-541611,0.0
Pay-541611,0.0
Emp-541612,0.0
Est-541612,0.0
Pay-541612,0.0
Emp-541613,0.0
Est-541613,1.0
Pay-541613,0.0
Emp-541614,0.0
Est-541614,0.0
Pay-541614,0.0
Emp-541618,0.0
Est-541618,0.0
Pay-541618,0.0
Emp-541620,0.0
Est-541620,0.0
Pay-541620,0.0
Emp-541690,0.0
Est-541690,0.0
Pay-541690,0.0
Emp-541713,0.0
Est-541713,0.0
Pay-541713,0.0
Emp-541714,0.0
Est-541714,0.0
Pay-541714,0.0
Emp-541715,0.0
Est-541715,0.0
Pay-541715,0.0
Emp-541720,1.0
Est-541720,0.0
Pay-541720,0.0
Emp-541810,0.0
Est-541810,0.0
Pay-541810,0.0
Emp-541820,0.0
Est-541820,0.0
Pay-541820,0.0
Emp-541860,0.0
Est-541860,0.0
Pay-541860,0.0
Emp-541890,0.0
Est-541890,0.0
Pay-541890,0.0
Emp-541910,0.0
Est-541910,1.0
Pay-541910,0.0
Emp-541921,0.0
Est-541921,0.0
Pay-541921,0.0
Emp-541922,0.0
Est-541922,0.0
Pay-541922,1.0
Emp-541930,0.0
Est-541930,0.0
Pay-541930,0.0
Emp-541940,2.0
Est-541940,0.0
Pay-541940,0.0
Emp-541990,0.0
Est-541990,0.0
Pay-541990,0.0
Emp-551112,0.0
Est-551112,0.0
Pay-551112,0.0
Emp-551114,0.0
Est-551114,0.0
Pay-551114,0.0
Emp-561110,0.0
Est-561110,1.0
Pay-561110,0.0
Emp-561210,0.0
